Emails
C'mon @apple, you can do better! pic.twitter.com/zrJCO2LeJn,-0.4
Genius Idea.  Who is going to get on this? @nokia @microsoft @motorola @apple @google http://bit.ly/16lfd2s  #smartphone,0.2
RT @SWAGGA_L: THE WORST !  RT @Mati_uCurvegawd: Yooo @apple why my iPhone 5 battery so sus?,-0.8
I hope the 5s battery life is better than the 5 because the day isn't even half over and my batteries dead... @apple,-1
Oh oui les nouveau iPhone 5 lequel choisir? @apple,0
@apple, thank you so much for making all the iphone screens easily breakable glass. Smart way to rob us of our money even more...,-1
I'm sick of screen shots. Y'all freaked up the game @Apple,-1.4
Lol did @samsung gave @nokia  million bucks to piss off @apple??:D,0
@apple ill buy an iphone again when they make the warranty 2 years - the length of the plan # crap products,-1
I don't think @Apple will be linking to this, guys!  RT @PopSci: Infographic! Should you buy a new iPhone? http://pops.ci/14MhGof,-0.4
im gonna cry wtf i hate you @itunes @apple,-1.8
Lol did @samsung gave @nokia  million bucks to piss off @apple??:D,0
@apple Steve jobs didn't die for you to freak up my phone and not let me see nudes on twitter.,-1.2
U gettin the 5s? RT @AlShepMH: Yooo @apple freak is my update @,-1
These @Apple jokers out here making golden iPhones but still making chargers outta playdoh,-0.6
@apple Steve jobs didn't die for you to freak up my phone and not let me see nudes on twitter.,-1.2
I will be impressed by @apple touch id, when it recognizes a #type1 #diabetic fingerprint. #doc #dsma,0
Live from Apple's Town Hall. Apple 2.0 - Covering the business that Steve Jobs built  http://pb2.co/8ppx5  @cnnmoney @apple #iphone #iso7,0.2
I want iOS 7 already! @apple ??,0.4
@Walmart discounts new #iPhone5c by 20% http://ow.ly/oP1xh  Maybe @Apple using aggressive discounts thru channels to drive unit volumes?,0
How @Apple Is Improving Mobile App Security http://fw.to/Qo0DqXT  #Mobile #App,0.4
Yo @Apple where is the update to allow u to access your call history while on the phone?!,-0.2
This Thunderbolt display though @apple,0
Meeting with the guys from @Apple (@ Axel Springer Plug&Play) http://4sq.com/14QTgES,0
"@apple your stupid ""iPhone"" is making me look like a fool w all the misspellings! If it happens again ill see you in court, motherfreaker,-1.6"
I have to say, Apple has by far the best customer care service I have ever received! @Apple @AppStore,2
@Apple #iPhone5S VS. Apple #iPhone5 Epic Battle! - @GeekHelpingHand http://buff.ly/187kJCd,0.2
@SagarKamesh @Apple I wasn't hurt at all.,-0.2
Dear @dstv and @apple. Well done! I was a bit sad that I missed the 1st ep of Suits but... ? pic.twitter.com/xshI3GQlku,0.6
Hey @Apple, the only time I ever got fingerprinted, I spent the night in jail. No freaking thank you.,-1
I only have 12% battery and I feel like dying @apple,-0.6
i just lost three weeks worth of social media posts because my WiFi likes to do it's own gotdarn thing. @Apple y'all need to fix this!,-0.6
This is literally my 5th charger to break freak you @apple,-1.6
By the way @Apple, don't expect to break the Android hold on the Asian market with that ridiculously overpriced phone any time soon.,-1.2
Currently waiting for @Apple to review the app so hopefully it will be out ASAP. Thanks for the support. #excited #courtsideassistappforiOS,0.6
